country_name	Net Electricity Production_Electricity_GWh_2012	Net Electricity Production_Electricity_GWh_2013	Net Electricity Production_Electricity_GWh_2014	Net Electricity Production_Electricity_GWh_2015	Net Electricity Production_Electricity_GWh_2016	Net Electricity Production_Electricity_GWh_2017	Net Electricity Production_Electricity_GWh_2018	Net Electricity Production_Electricity_GWh_2019	Net Electricity Production_Electricity_GWh_2020	Net Electricity Production_Electricity_GWh_2021	Net Electricity Production_Electricity_GWh_2022	WS_HCF_W-B_2012	WS_HCF_W-B_2013	WS_HCF_W-B_2014	WS_HCF_W-B_2015	WS_HCF_W-B_2016	WS_HCF_W-B_2017	WS_HCF_W-B_2018	WS_HCF_W-B_2019	WS_HCF_W-B_2020	WS_HCF_W-B_2021	WS_PPL_W-SM_2012	WS_PPL_W-SM_2013	WS_PPL_W-SM_2014	WS_PPL_W-SM_2015	WS_PPL_W-SM_2016	WS_PPL_W-SM_2017	WS_PPL_W-SM_2018	WS_PPL_W-SM_2019	WS_PPL_W-SM_2020	WS_PPL_W-SM_2021	WS_PPL_W-SM_2022	delta_Net Electricity Production_Electricity_GWh_2013	delta_Net Electricity Production_Electricity_GWh_2014	delta_Net Electricity Production_Electricity_GWh_2015	delta_Net Electricity Production_Electricity_GWh_2016	delta_Net Electricity Production_Electricity_GWh_2017	delta_Net Electricity Production_Electricity_GWh_2018	delta_Net Electricity Production_Electricity_GWh_2019	delta_Net Electricity Production_Electricity_GWh_2020	delta_Net Electricity Production_Electricity_GWh_2021	delta_Net Electricity Production_Electricity_GWh_2022	delta_WS_PPL_W-SM_2013	delta_WS_PPL_W-SM_2014	delta_WS_PPL_W-SM_2015	delta_WS_PPL_W-SM_2016	delta_WS_PPL_W-SM_2017	delta_WS_PPL_W-SM_2018	delta_WS_PPL_W-SM_2019	delta_WS_PPL_W-SM_2020	delta_WS_PPL_W-SM_2021	delta_WS_PPL_W-SM_2022
Argentina	NaN	NaN	NaN	11465.902666666667	11597.680833333334	11492.935416666667	11599.009758333334	11038.526083333332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.149304773445954	-0.9031582966623282	0.9229525601687539	-4.832168320207857	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Australia	19709.100083333335	19280.250083333332	19851.019666666667	20088.502633333334	20492.613925	20440.10325	20647.603133333334	20981.114008333334	21002.047516666666	21307.411883333334	21861.123416666665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.1758984336512244	2.960384750541862	1.1963262877898504	2.011654621764175	-0.25624195718605164	1.015160641780681	1.61525225396057	0.09977310225289884	1.4539742681009529	2.5986803857977923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Austria	5776.267833333332	5441.641333333333	5186.4664999999995	5163.1435	5413.375916666667	5674.466258333334	5448.642583333333	5925.094158333333	5799.284008333333	5673.689083333334	5423.274458333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.77435270231356	98.91264185749162	98.91103088214798	98.90942134522672	98.90780818930264	98.90620205378433	98.90447481512984	98.90261913148836	98.90064308467564	98.89854282494248	98.89632338658129	-5.793126455614771	-4.689299012969374	-0.4496895911696222	4.846512917308355	4.823059504565787	-3.9796460974345096	8.74440868001512	-2.123344315516993	-2.1656970898394468	-4.4136120489154465	0.14000512419943023	-0.0016286849824102367	-0.0016272572501875259	-0.001630942636339699	-0.001623871307755019	-0.0017463400864816438	-0.0018762383046357198	-0.001997972177159112	-0.002123605739708238	-0.00224415678714621
Belgium	6648.583416666667	6690.000166666666	5818.133333333334	5614.941666666667	6866.899983333334	6927.108341666666	6005.883333333334	7495.000008333333	7176.991675	8052.091675000001	7656.424916666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.6562942460374	99.6646061190648	99.67292408505617	99.68123686119162	99.68955963654749	99.69786904929532	99.70618599279996	99.71450454021208	99.72281208957982	99.73113432747547	99.739449377802	0.622940969593237	-13.032388813343553	-3.4923858740489644	22.29690691354764	0.876790960687708	-13.298839326536138	24.794299062308333	-4.242939732885322	12.193131044700568	-4.913838221213915	0.008340539943091176	0.008345957823211288	0.008340054444836932	0.008349390133926828	0.00833528884883183	0.008342147714838662	0.00834306049247263	0.008331334950766859	0.008345370253076223	0.00833746691301732
Brazil	NaN	NaN	NaN	47005.163083333326	47473.448333333334	48343.794475	49366.37140833333	51473.94955	51166.334075	53255.99806666666	55253.362375	NaN	NaN	NaN	88.884903	88.884903	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.00246168382645	82.74326021049153	83.6051549791106	84.40003882306921	85.19092589711046	85.92161788358636	86.64403311599396	87.25871547189513	NaN	NaN	NaN	0.9962421557176738	1.8333324673521934	2.1152186013494134	4.269258771793978	-0.597613895357285	4.084060406992644	3.7504964339096727	NaN	NaN	NaN	0.9033857172743677	1.04164951492905	0.9507593690331936	0.9370695618982067	0.8577110517127127	0.8407840194377927	0.7094341454284171
Bulgaria	NaN	NaN	NaN	3727.250083333334	3435.083666666667	3445.5951666666665	3559.274191666667	3362.177916666667	3102.9113333333335	3621.484233333333	3811.7460166666665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.76209216447714	96.60156349604948	96.44181386150008	96.28281310575667	96.12456448958274	95.96707640546336	95.81034352398456	95.6543313759674	NaN	NaN	NaN	-7.83865880030723	0.30600419145539337	3.2992565725582783	-5.537541206054359	-7.711268997637573	16.712462725865826	5.25369630446272	NaN	NaN	NaN	-0.16590036949055528	-0.165369615944086	-0.1648670316090768	-0.16435811446443271	-0.1638375008049542	-0.16331942927655965	-0.16283434781558787
Canada	51228.08341666666	53294.49991666666	53439.666666666664	53207.833249999996	53703.08283333333	53678.416750000004	52949.500008333336	52269.083341666665	51955.70165	52105.916666666664	53203.90101666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.65167709981	98.7072535526378	98.7627063399284	98.81806209923354	98.87330748525872	98.92850336575616	98.98362608550524	99.0386196317734	99.03894619179758	99.03932082667262	99.03972928524249	4.033757193671835	0.27238598772292133	-0.43382272219762136	0.9307832194676534	-0.04593047927969686	-1.3579326399686849	-1.2850294460940814	-0.5995545963914917	0.28912133201200163	2.1072162630283624	0.05633604461844509	0.05617903983219793	0.0560492531610225	0.05590616214442629	0.05582485495963152	0.05571975504903826	0.055558225580319066	0.00032972998350711886	0.00037827025574207275	0.00041242060875979885
Chile	5486.666666666667	5812.000166666666	5787.666499999999	6002.416583333333	6371.166499999999	6419.016583333333	6656.872583333334	6841.681408333334	6826.7276999999995	7130.0315083333335	7368.458058333334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.2304063276018	97.65809673419432	98.08776358008517	98.38247356791491	98.57763488943	98.7702384337868	98.77136701847628	98.77136654421062	98.77137068473726	98.77136763963976	98.7713643041914	5.929529161603867	-0.4186797310541446	3.7104778468720228	6.143357621837838	0.7510411685730347	3.7054897259119457	2.776210941196349	-0.21856773855503392	4.442887158562573	3.343976106155148	0.43987310425453313	0.43997053010393655	0.30045540551969835	0.19837000884142675	0.19538259826666998	0.0011426363926809366	-4.801651285449237e-07	4.192031341083239e-06	-3.0829758453949506e-06	-3.37693852860927e-06
China	NaN	NaN	NaN	463253.2141666667	489670.17675000004	530331.9265	564221.5102083334	593280.2616916667	614216.2322166667	672060.0230583333	701411.175225	NaN	NaN	NaN	90.5	90.5	90.5	90.5	90.5	90.5	90.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.7024887848547605	8.303905706464878	6.390259008540651	5.150238152495042	3.5288500017350373	9.417496283501354	4.367340886175442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Colombia	NaN	NaN	5752.274916666666	6343.499666666667	6205.105833333334	6448.809666666667	6474.012558333333	6506.5586583333325	6423.922374999999	6813.803691666667	6813.8037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.28810150664431	72.50683793402327	72.72159971267536	72.93200624708477	73.12643788793517	73.27191936387443	73.41323109731101	73.71989554245077	73.8560448264451	NaN	NaN	10.278103160316332	-2.181663759841494	3.92747263107384	0.39081463044160586	0.5027191360342098	-1.2700459286184427	6.069209649605516	1.2230075598116007e-07	NaN	NaN	0.30258980775536337	0.2961952069231175	0.2893315538172099	0.2665930239073443	0.19894511498318954	0.19285933091886806	0.4177236726350706	0.18468458615208985
